candidateId,value,universidad homologada
630665b8594e18004af05247,Etsunp,No Homologada
630665b8594e18004af0524e,Universidad Norbert Wiener,No Homologada
630665b8594e18004af0525c,Instituto Continental,No Homologada
630665b8594e18004af0525c,Institución Educativa Simón Bolívar,No Homologada
630665b8594e18004af05267,Certus,No Homologada
630665b8594e18004af0526f,Universidad Andina Néstor Cáceres Velásquez - Uancv,No Homologada
630665b8594e18004af0526f,Universidad Andina Néstor Cáceres Velásquez - Uancv,No Homologada
630665b8594e18004af0527b,Instituto Superior Tecnologico Privado Urusayhua,No Homologada
630665b8594e18004af05282,Universidad Peruana De Ciencias Aplicadas.,universidad peruana de ciencias aplicadas s.a.c.
630665b8594e18004af05289,Universidad Cesar Vallejo,No Homologada
630665b8594e18004af05289,I.e.s.t.p. Juanjui,No Homologada
630665b8594e18004af05289,San Marcos 00503,No Homologada
630665b8594e18004af05294,Universidad San Ignacio De Loyola,universidad san ignacio de loyola s.r.l.
630665b8594e18004af05294,Trilce - Los Olivos,No Homologada
630665b8594e18004af0529e,Universidad Peruana De Ciencias Aplicadas,universidad peruana de ciencias aplicadas s.a.c.
630665b8594e18004af0529e,Saco Oliveros,No Homologada
630665b8594e18004af052a6,Universidad Autónoma Del Perú,universidad autónoma del perú s.a.c.
630665b8594e18004af052ad,Universidad Privada Del Norte,universidad privada del norte s.a.c.
630665b8594e18004af052b5,Universidad Tecnologica Del Perú,universidad tecnológica del perú s.a.c.
630665b8594e18004af052b5,Universidad Nacional De Ingenieria,universidad nacional de ingeniería
630665b8594e18004af052ca,Universidad La Salle,universidad la salle
630665b8594e18004af052d1,Cetpro - Computec Millenium - Chosica,No Homologada
630665b8594e18004af052de,Instituto De Formación Bancaria - Ifb,No Homologada
630665b8594e18004af052ec,Universidad Nacional Del Altiplano,universidad nacional del altiplano
630665b8594e18004af052f2,Adventista Miraflores,No Homologada
630665b8594e18004af052f9,Universidad Tecnológica Del Perú,universidad tecnológica del perú s.a.c.
630665b8594e18004af052f9,Icpna,No Homologada
630665b8594e18004af05303,Universidad Privada Del Norte,universidad privada del norte s.a.c.
630665b8594e18004af05309,Cepea,No Homologada
630665b8594e18004af0530f,Universidad Nacional De Tumbes,universidad nacional de tumbes
630665b8594e18004af05317,Universidad Andina Del Cusco,universidad andina del cusco
630665b8594e18004af05320,Universidad Privada De Tacna,universidad privada de tacna
630665b8594e18004af0532c,Universidad Nacional Del Callao - Unac,universidad nacional del callao
630665b8594e18004af05336,Universidad Tecnologica Del Peru,No Homologada
630665b8594e18004af0533d,I.e.s.t.p Lurin,No Homologada
630665b8594e18004af05354,Universidad Peruana Los Andes,universidad peruana los andes
630665b8594e18004af05360,Instituto De Educación Superior Privado Certus,No Homologada
